"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"30","001","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Public Counter",13
"30","001","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Emergency",0
"30","001","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Absentee/Military",1
"30","001","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Affidavit",0
"30","001","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Margaret M. Markey",4
"30","001","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Brian Barnwell",4
"30","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Public Counter",26
"30","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Emergency",0
"30","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Absentee/Military",49
"30","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Affidavit",0
"30","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Margaret M. Markey",46
"30","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Brian Barnwell",26
"30","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Scattered",1
"30","003","Queens","COMBINED INTO 005/30","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Public Counter",0
"30","003","Queens","COMBINED INTO 005/30","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Emergency",0
"30","003","Queens","COMBINED INTO 005/30","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Absentee/Military",0
"30","003","Queens","COMBINED INTO 005/30","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Affidavit",0
"30","004","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Public Counter",38
"30","004","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Emergency",0
"30","004","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Absentee/Military",3
"30","004","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Affidavit",0
"30","004","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Margaret M. Markey",10
"30","004","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Brian Barnwell",31
"30","005","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Public Counter",39
"30","005","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Emergency",0
"30","005","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Absentee/Military",2
"30","005","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Affidavit",0
"30","005","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Margaret M. Markey",8
"30","005","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Brian Barnwell",33
"30","006","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Public Counter",48
"30","006","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Emergency",0
"30","006","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Absentee/Military",0
"30","006","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Affidavit",0
"30","006","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Margaret M. Markey",8
"30","006","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Brian Barnwell",39
"30","007","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Public Counter",38
"30","007","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Emergency",0
"30","007","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Absentee/Military",3
"30","007","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Affidavit",0
"30","007","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Margaret M. Markey",15
"30","007","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Brian Barnwell",26
"30","008","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Public Counter",40
"30","008","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Emergency",0
"30","008","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Absentee/Military",2
"30","008","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Affidavit",0
"30","008","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Margaret M. Markey",4
"30","008","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Brian Barnwell",38
"30","009","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Public Counter",29
"30","009","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Emergency",0
"30","009","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Absentee/Military",1
"30","009","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Affidavit",0
"30","009","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","30",1,"Margaret M. Markey",4
