"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"29","001","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",24
"29","001","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","001","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",1
"29","001","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",1
"29","001","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",7
"29","001","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",1
"29","001","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",18
"29","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",33
"29","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",4
"29","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",2
"29","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",4
"29","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",3
"29","002","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",32
"29","003","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",28
"29","003","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","003","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",1
"29","003","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",0
"29","003","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",4
"29","003","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",8
"29","003","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",17
"29","004","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",31
"29","004","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","004","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",2
"29","004","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",0
"29","004","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",2
"29","004","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",14
"29","004","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",17
"29","005","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",20
"29","005","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","005","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",1
"29","005","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",0
"29","005","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",7
"29","005","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",1
"29","005","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",13
"29","006","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",35
"29","006","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","006","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",2
"29","006","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",0
"29","006","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",7
"29","006","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",3
"29","006","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",26
"29","007","Queens","COMBINED INTO 005/29","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",0
"29","007","Queens","COMBINED INTO 005/29","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","007","Queens","COMBINED INTO 005/29","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",0
"29","007","Queens","COMBINED INTO 005/29","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",0
"29","008","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",23
"29","008","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","008","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",34
"29","008","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",0
"29","008","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",15
"29","008","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",12
"29","008","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",28
"29","009","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",55
"29","009","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","009","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",1
"29","009","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",0
"29","009","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",5
"29","009","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",4
"29","009","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",47
"29","010","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",44
"29","010","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","010","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",0
"29","010","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",2
"29","010","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",9
"29","010","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",8
"29","010","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",29
"29","011","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",10
"29","011","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","011","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",0
"29","011","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",0
"29","011","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",0
"29","011","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",0
"29","011","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",10
"29","012","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",50
"29","012","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","012","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",2
"29","012","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",1
"29","012","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",7
"29","012","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",9
"29","012","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",36
"29","012","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Scattered",1
"29","013","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",14
"29","013","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","013","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",1
"29","013","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",0
"29","013","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",1
"29","013","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",3
"29","013","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",11
"29","014","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",28
"29","014","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","014","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",0
"29","014","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",0
"29","014","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",4
"29","014","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",2
"29","014","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",22
"29","015","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Public Counter",31
"29","015","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Emergency",0
"29","015","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Absentee/Military",0
"29","015","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Affidavit",0
"29","015","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Lorraine Bridges",3
"29","015","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Linda Guillebeaux",9
"29","015","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Alicia L. Hyndman",17
"29","015","Queens","IN-PLAY","Primary Election 2016 - 09/13/2016","Democratic","Member of the Assembly","29",1,"Scattered",1
