"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"76","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Public Counter",779
"76","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Manually Counted Emergency",0
"76","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Absentee/Military",51
"76","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Federal",33
"76","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Special Presidential",0
"76","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Affidavit",11
"76","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Rebecca A. Seawright (Democratic)",621
"76","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Republican)",138
"76","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Rebecca A. Seawright (Working Families)",29
"76","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Independence)",7
"76","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Stop de Blasio)",9
"76","001","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Scattered",1
"76","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Public Counter",572
"76","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Manually Counted Emergency",0
"76","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Absentee/Military",26
"76","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Federal",5
"76","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Special Presidential",0
"76","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Affidavit",19
"76","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Rebecca A. Seawright (Democratic)",402
"76","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Republican)",149
"76","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Rebecca A. Seawright (Working Families)",14
"76","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Independence)",5
"76","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Stop de Blasio)",12
"76","002","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Scattered",1
"76","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Public Counter",474
"76","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Manually Counted Emergency",0
"76","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Absentee/Military",48
"76","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Federal",8
"76","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Special Presidential",0
"76","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Affidavit",7
"76","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Rebecca A. Seawright (Democratic)",330
"76","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Republican)",147
"76","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Rebecca A. Seawright (Working Families)",12
"76","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Independence)",7
"76","003","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Stop de Blasio)",5
"76","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Public Counter",541
"76","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Manually Counted Emergency",0
"76","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Absentee/Military",35
"76","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Federal",8
"76","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Special Presidential",0
"76","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Affidavit",8
"76","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Rebecca A. Seawright (Democratic)",370
"76","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Republican)",161
"76","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Rebecca A. Seawright (Working Families)",4
"76","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Independence)",5
"76","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Stop de Blasio)",4
"76","004","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Scattered",1
"76","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Public Counter",448
"76","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Manually Counted Emergency",0
"76","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Absentee/Military",31
"76","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Federal",16
"76","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Special Presidential",0
"76","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Affidavit",7
"76","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Rebecca A. Seawright (Democratic)",299
"76","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Republican)",140
"76","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Rebecca A. Seawright (Working Families)",8
"76","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Independence)",3
"76","005","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Stop de Blasio)",5
"76","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Public Counter",770
"76","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Manually Counted Emergency",0
"76","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Absentee/Military",42
"76","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Federal",16
"76","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Special Presidential",0
"76","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Affidavit",11
"76","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Rebecca A. Seawright (Democratic)",537
"76","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Republican)",215
"76","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Rebecca A. Seawright (Working Families)",15
"76","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Independence)",9
"76","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Jonathan Kostakopoulos (Stop de Blasio)",7
"76","006","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Scattered",1
"76","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Public Counter",442
"76","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Manually Counted Emergency",0
"76","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Absentee/Military",21
"76","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Federal",9
"76","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Special Presidential",0
"76","007","New York","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","76",1,"Affidavit",14
