0180I Following is a set of records pertinent to the General Election held on Tuesday, November 6, 2012, originated at Suffolk County Board of Elections on January 16, 2013 at 10:35 AM
0064RPresident                               U     1051090218801
0044CGOODE, VIRGIL            CST 000491 1I 
0044CJOHNSON, GARY            LBT 003551 1H 
0044CLINDSAY, PETA            PSL 000127 1G 
0044COBAMA, BARACK            DEM 263867 1A 
0044COBAMA, BARACK            WOR 010963 1D 
0044CROMNEY, MITT             REP 226077 1B 
0044CROMNEY, MITT             CON 033271 1C 
0044CSTEIN, JILL              GRE 002306 1F 
0084E0001P0629000472              11 1 1  000100000100000004000002510007017700290002
0084E0002P0574000464              11 1 1  000400000100000005000002370014016400350004
0084E0003P0501000385              11 1 1  000400000000000000000102160013011900280004
0084E0004P0596000459              11 1 1  000700000200000003000002570005015400300001
0084E1001P1184000821              12 4 5 1002600000000030008000003750017032500580009
0084E1002P1134000845              12 4 5 1000200000000000014000103800009038400480007
0084E1003P0992000712              12 4 5 1000300000000000003000003560008028300540005
0084E1004P0621000456              12 4 5 1000100000100010004000002460011016300260003
0084E1005P1021000738              11 4 5 1000200100000010006000003430011033600340004
0084E1006P1528001061              11 4 5 1000700000200000004000105280015043300660005
0084E1007P0594000406              11 4 5 1000300000100000002000001920005017300290001
0084E1008P0881000634              11 2 6 2000100100100000007000102440010032600370006
0084E1009P1623001165              11 2 1 6000300200100030009000004970013054100950001
0084E1010P1508001014              11 3 3 4000200100200000006000004830028042600580008
0084E1011P1482000954              13 3 7 5000800200100010006000004440031039300650003
0084E1012P1070000769              12 512 3000400000000010006000103370016036100420001
0084E1013P0563000353              13 5 4 5000200000000000005000001350006017300300002
0084E1014P0875000644              13 7 7 5000700000100010003000002700005030000560001
0084E1015P0981000664              13 7 7 5000500100100000001000003780019022000340005
0084E1016P1068000717              13 7 7 5000300200300000005000104010024024100310006
0084E1017P0590000407              13 7 7 5000100000000000007000002200012015300130001
0084E1018P0165000109              13 7 7 5000100300000000000000000650002002900050004
0084E1019P0954000627              13 7 7 5000500200000000007000303400016020700410006
0084E1020P0834000588              13 7 7 5000100000000000008000003110020020100400007
0084E1021P0211000124              13 7 7 5000300000100000003000000890004002000030001
0084E1022P0586000418              13 7 7 5000300000000000007000002250011014000310001
0084E1023P0504000318              13 7 7 5000100100000000007000001860010008600260001
0084E1024P0428000280              13 7 7 5000300000400000002000001440010009600190002
0084E1025P1125000717              13 7 7 5000600000000010003000103850021025900390002
0084E1026P0488000307              13 3 3 4001200000000000002000002640009001900010000
0084E1027P0529000397              13 3 3 4000100000000000005000002420005011900230002
0084E1028P1090000747              13 3 3 4000800000100010006000003590022030800410001
0084E1029P1018000759              11 1 3 6000800000200000003000002540012043200460002
0084E1030P0633000461              11 1 1 6000600100000000001000001730006023100430000
0084E1031P1131000819              11 1 2 6000400000400010006000103560026037500420004
