Wayne County Board of Elections Official Canvas by position,General Election on 11/4/2014,([cTown]=13),,,,,,,,,,,,,
Combo128,Text95,cPos,Text124,cLName,cboxParty,cboxTown,town,cDist,cVoteCount,cEmergencyCount,Text91,Text76,cBlanksVoidsCount,TotRow,
County Election,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,
,,A16,PROP ONE   * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,,,,,,,,,,
,,,,PROP ONE YES,NO PARTY,1,Arcadia,1,237,0,6,,0,243,
,,,,PROP ONE YES,NO PARTY,1,Arcadia,2,217,0,12,,0,229,
,,,,PROP ONE YES,NO PARTY,1,Arcadia,3,136,0,12,,0,148,
,,,,PROP ONE YES,NO PARTY,1,Arcadia,4,134,0,15,,0,149,
,,,,PROP ONE YES,NO PARTY,1,Arcadia,5,131,0,11,,0,142,
,,,,PROP ONE YES,NO PARTY,1,Arcadia,6,190,0,15,,0,205,
,,,,PROP ONE YES,NO PARTY,1,Arcadia,7,162,0,28,,0,190,
,,,,PROP ONE YES,NO PARTY,1,Arcadia,8,91,0,6,,0,97,
,,,,PROP ONE YES,NO PARTY,1,Arcadia,9,118,0,9,,0,127,
,,,,PROP ONE YES,NO PARTY,1,Arcadia,10,172,0,8,,0,180,
,,,,,,,,,1588,0,122,,0,Text105:,1710
,,,,PROP ONE YES,NO PARTY,2,Butler,1,167,0,9,,0,176,
,,,,,,,,,167,0,9,,0,Text105:,176
,,,,PROP ONE YES,NO PARTY,3,Galen,1,110,0,3,,0,113,
,,,,PROP ONE YES,NO PARTY,3,Galen,2,99,0,3,,0,102,
,,,,PROP ONE YES,NO PARTY,3,Galen,3,129,0,11,,0,140,
,,,,PROP ONE YES,NO PARTY,3,Galen,4,110,0,4,,0,114,
,,,,,,,,,448,0,21,,0,Text105:,469
,,,,PROP ONE YES,NO PARTY,4,Huron,1,145,0,7,,0,152,
,,,,PROP ONE YES,NO PARTY,4,Huron,2,151,0,4,,0,155,
,,,,,,,,,296,0,11,,0,Text105:,307
,,,,PROP ONE YES,NO PARTY,5,Lyons,1,119,0,8,,0,127,
,,,,PROP ONE YES,NO PARTY,5,Lyons,2,92,0,5,,0,97,
,,,,PROP ONE YES,NO PARTY,5,Lyons,3,107,0,5,,0,112,
,,,,PROP ONE YES,NO PARTY,5,Lyons,4,134,0,4,,0,138,
,,,,PROP ONE YES,NO PARTY,5,Lyons,5,87,0,4,,0,91,
,,,,,,,,,539,0,26,,0,Text105:,565
,,,,PROP ONE YES,NO PARTY,6,Macedon,1,228,0,9,,0,237,
,,,,PROP ONE YES,NO PARTY,6,Macedon,2,338,0,10,,0,348,
,,,,PROP ONE YES,NO PARTY,6,Macedon,3,270,0,12,,0,282,
,,,,PROP ONE YES,NO PARTY,6,Macedon,4,204,0,10,,0,214,
,,,,PROP ONE YES,NO PARTY,6,Macedon,5,228,0,10,,0,238,
,,,,,,,,,1268,0,51,,0,Text105:,1319
,,,,PROP ONE YES,NO PARTY,7,Marion,1,142,0,5,,0,147,
,,,,PROP ONE YES,NO PARTY,7,Marion,2,161,0,5,,0,166,
,,,,PROP ONE YES,NO PARTY,7,Marion,3,152,0,3,,0,155,
,,,,PROP ONE YES,NO PARTY,7,Marion,4,151,0,5,,0,156,
,,,,,,,,,606,0,18,,0,Text105:,624
,,,,PROP ONE YES,NO PARTY,8,Ontario,1,214,0,10,,0,224,
,,,,PROP ONE YES,NO PARTY,8,Ontario,2,323,0,8,,0,331,
,,,,PROP ONE YES,NO PARTY,8,Ontario,3,340,0,12,,0,352,
