"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"39","001","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Public Counter",439
"39","001","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Manually Counted Emergency",0
"39","001","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Absentee/Military",6
"39","001","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Federal",2
"39","001","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Special Presidential",0
"39","001","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Affidavit",40
"39","001","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Francisco P. Moya (Democratic)",368
"39","001","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Francisco P. Moya (Working Families)",27
"39","002","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Public Counter",502
"39","002","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Manually Counted Emergency",0
"39","002","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Absentee/Military",8
"39","002","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Federal",4
"39","002","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Special Presidential",0
"39","002","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Affidavit",23
"39","002","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Francisco P. Moya (Democratic)",394
"39","002","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Francisco P. Moya (Working Families)",30
"39","002","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Scattered",1
"39","003","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Public Counter",450
"39","003","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Manually Counted Emergency",0
"39","003","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Absentee/Military",6
"39","003","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Federal",0
"39","003","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Special Presidential",0
"39","003","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Affidavit",19
"39","003","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Francisco P. Moya (Democratic)",355
"39","003","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Francisco P. Moya (Working Families)",24
"39","004","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Public Counter",572
"39","004","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Manually Counted Emergency",0
"39","004","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Absentee/Military",6
"39","004","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Federal",2
"39","004","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Special Presidential",0
"39","004","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Affidavit",13
"39","004","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Francisco P. Moya (Democratic)",444
"39","004","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Francisco P. Moya (Working Families)",31
"39","005","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Public Counter",530
"39","005","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Manually Counted Emergency",0
"39","005","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Absentee/Military",14
"39","005","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Federal",1
"39","005","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Special Presidential",0
"39","005","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Affidavit",31
"39","005","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Francisco P. Moya (Democratic)",413
"39","005","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Francisco P. Moya (Working Families)",31
"39","005","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Scattered",1
"39","006","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Public Counter",393
"39","006","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Manually Counted Emergency",0
"39","006","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Absentee/Military",1
"39","006","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Federal",0
"39","006","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Special Presidential",0
"39","006","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Affidavit",22
"39","006","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Francisco P. Moya (Democratic)",306
"39","006","Queens","IN-PLAY","General Election 2016 - 11/08/2016",,"Member of the Assembly","39",1,"Francisco P. Moya (Working Families)",22
