PRESIDENT,District #,Vote,Obama D,McCain R,McCain IDC,McCain C,Obama WF,Calero SW,LaRiva S&L,McKinney G,Barr L,Nader Pop,Write-in,Void/Blank
,,,,,,,,,,,,,,
1ST WARD,01|,398,233,122,12,8,9,0,1,0,3,4,0,6
,02|,305,182,99,5,5,3,1,0,1,2,3,0,4
,03|,375,239,92,11,9,5,0,0,0,1,4,0,14
,04|,389,230,107,9,6,16,0,0,0,4,6,0,11
,05|,275,165,75,10,6,6,0,0,0,5,1,0,7
,06|,265,191,50,5,4,5,1,0,1,2,2,0,4
,07|,300,177,94,10,6,5,0,0,0,1,5,0,2
,08|,304,181,94,8,2,8,0,0,0,1,2,0,8
2ND WARD,01|,330,203,91,9,3,10,0,1,0,0,3,0,10
,02|,426,277,103,8,15,6,1,0,3,1,2,0,10
,03|,358,258,62,9,6,13,0,0,1,1,7,0,1
3RD WARD,01|,106,61,35,1,2,3,1,0,0,1,1,0,1
,02|,370,243,95,10,5,6,1,0,2,1,2,0,5
,03|,489,300,140,9,11,8,0,0,2,5,4,0,10
,04|,370,219,99,13,6,16,2,0,0,2,3,0,10
,05|,369,198,125,12,9,11,3,2,2,3,2,1,1
,06|,425,284,99,7,11,11,0,0,2,1,5,0,5
,07|,460,258,150,8,17,12,0,0,3,3,4,0,5
4TH WARD,01|,416,297,88,6,12,4,0,0,0,4,2,0,3
,02|,420,247,112,8,22,14,1,0,1,2,0,0,13
,03|,509,290,172,17,9,9,0,0,1,3,5,0,3
,04|,416,200,173,14,10,6,1,0,1,4,1,0,6
,05|,534,329,164,7,12,14,0,0,2,3,1,0,2
,06|,394,225,132,11,10,10,0,0,0,4,1,0,1
,07|,417,237,140,8,12,7,2,0,2,3,6,0,0
,08|,567,390,119,10,11,16,0,0,1,2,8,0,10
,09|,420,261,104,9,8,12,0,0,3,5,10,0,8
,10|,381,252,84,9,9,10,0,0,1,2,6,0,8
,11|,290,194,71,6,4,5,2,1,0,1,4,0,2
5TH WARD,01|,606,405,139,13,8,24,0,0,2,4,5,0,6
,02|,322,179,108,10,7,6,0,0,1,1,7,0,3
,04|,491,307,126,13,18,12,0,0,2,4,6,0,3
,05|,394,236,118,11,7,12,0,0,1,2,6,0,1
,06|,516,337,122,10,10,23,0,0,2,3,6,0,3
,07|,509,298,136,18,18,11,0,0,2,8,11,0,7
,08|,0,0,0,0,0,0,0,0,0,0,0,0,0
,09|,460,256,137,21,16,16,0,0,3,4,3,0,4
,10|,564,356,151,15,8,19,1,0,0,2,6,1,5
,11|,501,316,139,7,13,10,0,0,0,1,8,0,7
6TH WARD,01|,461,367,60,7,6,8,1,0,4,1,3,0,4
,02|,481,357,88,6,3,11,0,0,5,0,6,0,5
,03|,367,257,72,6,6,11,0,0,1,1,4,0,9
,04|,189,141,39,2,1,2,0,0,0,0,2,0,2
,05|,400,245,118,8,10,8,0,0,0,0,3,0,8
,06|,269,178,70,7,1,4,0,0,2,2,3,0,2
,07|,370,232,96,10,9,12,1,0,1,0,2,0,7
7TH WARD,01|,312,195,91,8,4,6,1,0,0,0,4,0,3
,02|,397,247,104,5,6,17,0,0,0,3,9,0,6
,03|,363,222,101,6,8,8,2,0,1,5,2,0,8
,04|,277,165,83,7,8,6,0,0,0,2,6,0,0
8TH WARD,01|,345,305,17,0,1,8,0,0,0,1,0,0,13
,02|,446,276,123,11,14,8,0,0,0,4,5,0,5
,03|,216,169,24,0,3,9,1,0,1,2,1,0,6
,04|,174,121,37,2,5,5,0,0,0,0,2,0,2
,05|,458,296,114,16,9,5,0,0,2,2,10,0,4
9TH WARD,01|,310,231,57,6,6,1,0,0,0,2,2,0,5
,02|,432,302,106,4,4,11,0,0,0,3,2,0,0
,03|,41,31,5,0,1,1,0,0,0,2,1,0,0
,05|,448,412,7,1,1,21,0,0,0,0,1,0,5
10TH WARD,01|,237,178,42,3,6,4,2,0,0,0,0,0,2
,02|,27,22,0,1,0,1,0,0,0,0,0,0,3
,03|,400,336,34,4,3,17,0,0,2,1,0,0,3
,04|,292,270,7,0,4,6,0,0,0,0,3,0,2
,05|,271,219,36,2,5,5,0,0,0,0,1,0,3
11TH WARD,01|,282,208,46,5,6,5,3,0,1,2,2,0,4
,02|,339,242,57,6,8,13,0,1,0,1,4,0,7
,03|,433,310,83,5,7,17,0,2,0,0,6,0,3
,04|,371,253,90,5,7,8,0,0,1,4,2,0,1
,05|,227,178,22,3,1,16,0,0,1,1,1,0,4
,06|,91,68,11,3,3,4,0,0,0,1,0,0,1
,07|,428,219,179,9,7,3,0,0,1,1,5,0,4
,08|,438,272,124,6,10,9,1,1,3,3,7,0,2
