State,Year,District,Dem Votes,GOP Votes,D Voteshare
NY,2011,1,4513,695,0.866551459
NY,2011,2,4289,922,0.82306659
NY,2011,3,5740,5309,0.519504028
NY,2011,4,5971,6901,0.463875078
NY,2011,5,6097,5295,0.53520014
NY,2011,6,3035,6905,0.305331992
NY,2011,7,4347,6312,0.407824374
NY,2011,8,2064,8383,0.19756868
NY,2011,9,2664,7199,0.270100375
NY,2011,10,6640,4634,0.588965762
NY,2011,11,7400,4621,0.615589385
NY,2011,12,3066,7541,0.289054398
NY,2011,13,4709,5883,0.444580816
NY,2011,14,5571,5622,0.49772179
NY,2011,15,3436,7104,0.325996205
NY,2011,16,6613,4506,0.594747729
NY,2011,17,2109,6135,0.255822416
NY,2011,18,6003,6040,0.498463838
NY,2011,19,8306,3043,0.731870649
NY,2015,1,5592,1005,0.847658026
NY,2015,2,4562,833,0.845597776
NY,2015,3,5457,1771,0.754980631
NY,2015,4,4311,6943,0.3830638
NY,2015,5,5814,2957,0.662866264
NY,2015,6,3934,6629,0.372432074
NY,2015,7,7141,3932,0.644902014
NY,2015,8,2643,7570,0.258787819
NY,2015,9,3246,6250,0.341828138
NY,2015,10,5300,3014,0.637478951
NY,2015,11,7331,3962,0.649163198
NY,2015,12,3497,8140,0.300507004
NY,2015,13,5771,6737,0.461384714
NY,2015,14,3189,6926,0.315274345
NY,2015,15,3327,7227,0.31523593
NY,2015,16,7344,3337,0.68757607
NY,2015,17,3317,6968,0.322508508
NY,2015,18,4724,5106,0.480569685
NY,2015,19,4833,7698,0.385683505
NY,2017,1,9315,1316,0.876211081
NY,2017,2,6744,1030,0.867507075
NY,2017,3,8616,3185,0.730107618
NY,2017,4,5686,9102,0.384500947
NY,2017,5,8994,4377,0.672649764
NY,2017,6,7071,8455,0.455429602
NY,2017,7,6684,8717,0.433997792
NY,2017,8,5017,9890,0.336553297
NY,2017,9,5526,9398,0.370276065
NY,2017,10,7467,3975,0.6525957
NY,2017,11,9975,4474,0.690359194
NY,2017,12,6474,12745,0.336854155
NY,2017,13,8690,9798,0.470034617
NY,2017,14,4993,9843,0.336546239
NY,2017,15,6060,9432,0.391169636
NY,2017,16,9392,5784,0.618871903
NY,2017,17,5398,10843,0.332368697
NY,2017,18,8076,6358,0.559512263
NY,2017,19,8237,10610,0.437045684
NY,2009,1,6028,1031,0.853945318
NY,2009,2,5139,1610,0.76144614
NY,2009,3,4664,6252,0.427262734
NY,2009,4,1,,1
NY,2009,5,7103,6729,0.513519375
NY,2009,6,3713,9002,0.292017302
NY,2009,7,5544,6654,0.454500738
NY,2009,8,3154,11005,0.222755844
NY,2009,9,4148,9095,0.31322208
NY,2009,10,7158,4308,0.624280481
NY,2009,11,7422,4892,0.602728602
NY,2009,12,2904,11659,0.199409462
NY,2009,13,3843,9664,0.284519138
NY,2009,14,7156,7184,0.49902371
NY,2009,15,3430,10312,0.249599767
NY,2009,16,8095,6166,0.567632003
NY,2009,17,3420,9889,0.256968968
NY,2009,18,7067,5922,0.544075756
NY,2009,19,4547,9389,0.326277268
