,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 46","Public Counter","1,002","Total Ballots","1,085","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","1,085",,,"Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 46","Absentee / Military",76,"Total Ballots","1,085","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","1,085",,,"Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 46","Federal",1,"Total Ballots","1,085","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","1,085",,,"Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 46","Affidavit",6,"Total Ballots","1,085","Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots","1,085",,,"Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 46","Nicole Malliotakis",918,,,,,,,"Total Votes","1,082","Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 46","John Matland",153,,,,,,,"Total Votes","1,082","Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 46","CARMEN HERNANDEZ (Write-In)",1,,,,,,,"Total Votes","1,082","Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 46","JAMES C. MCCARTHY (Write-In)",1,,,,,,,"Total Votes","1,082","Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 46","LIZ CHENEY (Write-In)",1,,,,,,,"Total Votes","1,082","Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 46","MAX ROSE (Write-In)",5,,,,,,,"Total Votes","1,082","Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 46","NELSON ROCKAFELLER (Write-In)",1,,,,,,,"Total Votes","1,082","Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 46","STAMATIS LILIKAKIS (Write-In)",1,,,,,,,"Total Votes","1,082","Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 46","UNATTRIBUTABLE WRITE-IN (Write-In)",1,,,,,,,"Total Votes","1,082","Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 47","Public Counter",495,"Total Ballots",555,"Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots",555,,,,,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 47","Absentee / Military",51,"Total Ballots",555,"Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots",555,,,,,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 47","Federal",8,"Total Ballots",555,"Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots",555,,,,,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 47","Affidavit",1,"Total Ballots",555,"Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots",555,,,,,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 47","Nicole Malliotakis",448,,,,,,,"Total Votes",555,,,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 47","John Matland",102,,,,,,,"Total Votes",555,,,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 47","DAN GOLDMAN (Write-In)",1,,,,,,,"Total Votes",555,,,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 47","JERRY MARINO (Write-In)",1,,,,,,,"Total Votes",555,,,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 47","TINA FORTE (Write-In)",1,,,,,,,"Total Votes",555,,,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 47","UNATTRIBUTABLE WRITE-IN (Write-In)",2,,,,,,,"Total Votes",555,,,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 49","Public Counter",532,"Total Ballots",571,"Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots",571,,,"Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 49","Absentee / Military",34,"Total Ballots",571,"Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots",571,,,"Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 49","Federal",3,"Total Ballots",571,"Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots",571,,,"Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 49","Affidavit",2,"Total Ballots",571,"Less - Inapplicable Federal/Special Presidential Ballots",0,"Total Applicable Ballots",571,,,"Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 49","Nicole Malliotakis",470,,,,,,,"Total Votes",568,"Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
,,"Statement and Return Report

for Certification



Primary Election Congress & State Senate - 08/23/2022


Kings County
 - 
Republican Party




Republican Representative in Congress


11th Congressional District


Vote for 1","Assembly District 49","John Matland",97,,,,,,,"Total Votes",568,"Unrecorded",3,,,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on Tuesday, September 13, 2022.","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk","Page -1 of 1"
