0177I Following is a set of records pertinent to the Presidential Primary held on Tuesday, April 24, 2012, originated at Suffolk County Board of Elections on July 3, 2012 at 1:13 PM
0064RPresident of The United States          U     1047030102801
0044CGINGRICH, NEWT           REP 001908 1B 
0044CPAUL, RON                REP 002171 1A 
0044CROMNEY, MITT             REP 013084 1C 
0044CSANTORUM, RICK           REP 000852 1D 
0068E1042P0301000020              13 2 3 600-10000000001000400140002
0068E1043P0289000010              12 5 4 300-10000000001000300070000
0068E1044P0251000019              13 512 500-10000000003000500100002
0068E1045P0297000016              13 3 7 500-40000000000000100150004
0068E1046P0415000030              13 3 3 400-40000000007000400190004
0068E1047P0470000025              11 1 6 200-20000000005000500140003
0068E1048P0317000022              13 3 7 500-50000000001000100230002
0068E1049P0351000012              13 3 7 500-20000000003000100090001
0068E1050P0275000015              12 4 5 300-10000000002000100130000
0068E1051P0302000013              13 3 7 500-10000000002000100110000
0068E1052P0336000029              13 3 7 500-30000000002000900170004
0068E1053P0360000011              13 1 3 400000000000000000600040001
0068E1054P0507000009              12 3 4 400-60000000000000300100002
0068E1055P0473000013              12 3 4 300-20000000001000400090001
0068E1056P0546000026              12 4 4 300-60000000004000200230003
0068E1057P0050000006              13 511 500000000000002000100020001
0068E1058P0382000020              13 5 4 500-20000000005000200120003
0068E1059P0170000007              12 4 4 300-10000000002000100040001
0068E1060P0265000026              12 4 5 100-10000000000000200250000
0068E1061P0212000023              12 4 5 100-10000000001000400190000
0068E1062P0398000017              11 4 5 100000000000001000300110002
0068E1063P0621000036              11 1 6 200-20000000003000800230004
0068E1064P0291000010              13 3 7 400-10000000002000000080001
0068E1065P0453000033              11 1 6 400-40000000006000600250000
0068E1066P0333000011              11 1 6 200000000000000000400060001
0068E1067P0280000021              13 3 3 400-20000000005000100160001
0068E1068P0371000013              11 1 6 200-20000000001000500080001
0068E1069P0362000025              13 3 7 500000000000000000300180004
0068E1070P0385000024              12 712 300-10000000003000700150000
0068E1071P0316000015              12 4 4 300-20000000005000200090001
0068E1072P0407000021              13 2 3 600-20000000000000500170001
0068E1073P0669000050              11 2 3 600-50000000008000900350003
0068E1074P0328000009              13 3 7 500-20000000003000000070001
0068E1075P0215000015              11 4 4 300-30000000002000400120000
0068E1076P0273000007              12 5 4 300000000000001000300030000
0068E1077P0288000015              13 5 4 500-10000000002000400090001
0068E1078P0419000018              12 5 4 300-10000000003000100150000
0068E1079P0496000046              13 2 3 600-10000000006001800230000
0068E1080P0467000019              13 2 3 600-10000000002000400130001
0068E1081P0218000009              13 512 500-40010000002000100080001
0068E1082P0354000033              13 3 7 500-60000000006000700240002
0068E1083P0281000017              12 4 5 300-10000000008000300050002
0068E1084P0488000013              11 1 3 600-10000000002000400070001
0068E1085P0318000019              13 3 4 400-10000000003000600090002
0068E1086P0232000017              12 4 5 100-30000000001000300160000
0068E1087P0338000020              12 4 5 100000000000002000400140000
0068E1088P0165000011              11 4 5 100000000000002000000090000
0068E1089P0505000026              12 4 5 100-10000000002000000230002
0068E1090P0344000027              12 4 5 100-40000000007000200180004
0068E1091P0233000015              11 4 5 100-20000000003000100120001
0068E1092P0519000023              12 4 4 300-20000000000000300180004
0068E1093P0415000020              11 1 1 200-10000000000000300140004
0068E1094P0353000014              12 4 4 300000000000002000000110001
0068E1095P0242000015              12 4 5 100-10000000002000200120000
0068E1096P0212000012              11 3 7 400000000000003000200060001
0068E1097P0380000013              11 3 7 400-10000000002000100070004
0068E1098P0673000031              11 1 6 200010000000002000200260000
0068E1099P0493000036              12 4 4 300-20000000007000700200004
0068E1100P0402000024              12 4 4 300-10000000004000400160001
0068E1101P0240000015              12 4 5 100000000000002000400080001
0068E1102P0371000030              12 4 5 100-60010000003000400250003
0068E1103P0247000017              13 3 7 500-10000000003000100140000
0068E1104P0467000018              11 2 3 600-10000000003000400120000
0068E1105P0231000005              12 712 300000000000002000000030000
0068E1106P0281000023              13 5 4 500-10000000000000800140002
0068E1107P0395000020              13 5 8 500-20000000001000200170002
0068E1108P0345000021              12 4 5 100-10000000000000200180002
0068E1109P0312000019              12 4 4 300000000000000000300140002
0068E1110P0298000008              12 4 5 200-30000000003000000080000
0068E1111P0335000024              12 4 5 100-40000000003000200230000
0068E1112P0300000021              12 4 5 100-40000000001000100210002
0068E1113P0441000027              11 1 1 600-30000000000000800180004
