0171I Following is a set of records pertinent to the Federal Primary held on Tuesday, June 26, 2012, originated at Suffolk County Board of Elections on July 3, 2012 at 1:06 PM
0064RUnited States Senator                   N   0 1051029866001
0044CLONG, WENDY              REP 005404 1A 
0044CMARAGOS, GEORGE          REP 002454 1C 
0044CTURNER, BOB              REP 004218 1B 
0064E0001P0194000011              11 1 1  0003000000000700010000
0064E0002P0196000014              11 1 1  0000000000001000030001
0064E0003P0172000023              11 1 1  0003001000000800020009
0064E0004P0212000014              11 1 1  00-1000000000600020007
0064E1001P0380000029              12 4 5 10000000000001100090009
0064E1002P0408000030              12 4 5 100-4000000002000060008
0064E1003P0327000010              12 4 5 10000000000000200020006
0064E1004P0210000010              12 4 5 10000000000000600020002
0064E1005P0387000023              11 4 5 100-1000000001000070007
0064E1006P0552000031              11 4 5 10000000000001300110007
0064E1007P0235000012              11 4 5 10001000000000600010004
0064E1008P0316000013              11 2 6 200-1000000000400050005
0064E1009P0606000039              11 2 1 60000000000001900020018
0064E1010P0564000016              11 3 3 400-1000000000700010009
0064E1011P0559000016              13 3 7 50000000000000700030006
0064E1012P0359000018              12 512 30000000000000800010009
0064E1013P0252000012              13 5 4 50001000000000800020001
0064E1014P0337000021              13 7 7 50000000000001200070002
0064E1015P0287000008              13 7 7 50000000000000400030001
0064E1016P0291000009              13 7 7 500-1000000000400000006
0064E1017P0192000016              13 7 7 50002000000000600020006
0064E1018P0044000001              13 7 7 50000000000000000000001
0064E1019P0272000000              13 7 7 50000000000000000000000
0064E1020P0241000016              13 7 7 50000001000000700020006
0064E1021P0043000001              13 7 7 500-1000000000200000000
0064E1022P0204000011              13 7 7 50001000000000800010001
0064E1023P0155000006              13 7 7 500-2000000000100050002
0064E1024P0141000004              13 7 7 50000000000000200000002
0064E1025P0346000010              13 7 7 500-1000000000400010006
0064E1026P0082000003              13 3 3 40000000000000000010002
0064E1027P0164000010              13 3 3 40001000000000100030005
0064E1028P0405000014              13 3 3 400-2000000000600080002
0064E1029P0471000049              11 1 3 600-3000000002300180011
0064E1030P0282000026              11 1 1 600-6001000001000090012
0064E1031P0411000019              11 1 2 600-2000000000700060008
0064E1032P0165000003              11 1 1 60000001000000200000000
0064E1033P0383000021              11 4 6 200-2000000001100060006
0064E1034P0481000020              13 5 7 500-1001000000800020010
0064E1035P0518000016              11 2 6 20002000000000900030002
0064E1036P0356000020              12 4 4 30003000000001000040003
0064E1037P0332000019              11 2 6 20000000000001100030005
0064E1038P0344000009              13 3 3 60001000000000300010004
0064E1039P0641000022              11 1 1 60000001000001100030007
0064E1040P0559000020              11 2 1 200-5000000000800080009
0064E1041P0577000017              13 5 7 500-2000000001100020006
0064E1042P0303000006              13 3 3 600-1000000000400010002
0064E1043P0331000011              13 5 4 300-1000000000600030003
0064E1044P0253000012              13 512 500-1000000000500060002
0064E1045P0178000012              13 3 7 500-1000000000400030006
0064E1046P0410000020              13 3 3 400-1001000000700040009
0064E1047P0466000012              11 2 6 20000000000000400050003
0064E1048P0315000019              13 7 7 500-2000000001300030005
0064E1049P0356000016              13 3 7 500-2001000000900000008
0064E1050P0262000011              12 5 5 30001000000000400020004
0064E1051P0239000003              13 3 7 500-1000000000400000000
0064E1052P0344000020              13 3 7 500-3000000001200040007
