"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"24","001","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Public Counter",27
"24","001","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Emergency",0
"24","001","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Absentee/Military",3
"24","001","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Federal",0
"24","001","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Affidavit",0
"24","001","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Jon Kaiman",8
"24","001","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Steve Stern",1
"24","001","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Jonathan C. Clarke",1
"24","001","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Thomas R. Suozzi",14
"24","001","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Anna Kaplan",4
"24","002","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Public Counter",65
"24","002","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Emergency",0
"24","002","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Absentee/Military",8
"24","002","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Federal",0
"24","002","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Affidavit",0
"24","002","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Jon Kaiman",21
"24","002","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Steve Stern",1
"24","002","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Jonathan C. Clarke",3
"24","002","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Thomas R. Suozzi",31
"24","002","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Anna Kaplan",17
"24","003","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Public Counter",46
"24","003","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Emergency",0
"24","003","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Absentee/Military",6
"24","003","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Federal",0
"24","003","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Affidavit",0
"24","003","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Jon Kaiman",18
"24","003","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Steve Stern",5
"24","003","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Jonathan C. Clarke",4
"24","003","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Thomas R. Suozzi",12
"24","003","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Anna Kaplan",12
"24","004","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Public Counter",15
"24","004","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Emergency",0
"24","004","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Absentee/Military",3
"24","004","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Federal",1
"24","004","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Affidavit",0
"24","004","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Jon Kaiman",4
"24","004","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Steve Stern",0
"24","004","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Jonathan C. Clarke",2
"24","004","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Thomas R. Suozzi",8
"24","004","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Anna Kaplan",5
"24","005","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Public Counter",42
"24","005","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Emergency",0
"24","005","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Absentee/Military",5
"24","005","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Federal",0
"24","005","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Affidavit",0
"24","005","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Jon Kaiman",8
"24","005","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Steve Stern",4
"24","005","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Jonathan C. Clarke",1
"24","005","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Thomas R. Suozzi",21
"24","005","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Anna Kaplan",13
"24","006","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Public Counter",40
"24","006","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Emergency",0
"24","006","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Absentee/Military",3
"24","006","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Federal",0
"24","006","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Affidavit",0
"24","006","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Jon Kaiman",5
"24","006","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Steve Stern",8
"24","006","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Jonathan C. Clarke",2
"24","006","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Thomas R. Suozzi",16
"24","006","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Anna Kaplan",12
"24","007","Queens","IN-PLAY","Federal Primary - 06/28/2016","Democratic","Representative in Congress","03",1,"Public Counter",40
