"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","004","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Federal",0
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","004","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Affidavit",0
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","004","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Henry L. Butler",59
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","004","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Robert Waterman",29
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","005","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Public Counter",104
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","005","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Manually Counted Emergency",0
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","005","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Absentee / Military",30
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","005","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Federal",0
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","005","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Affidavit",0
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","005","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Henry L. Butler",66
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","005","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Robert Waterman",50
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","005","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Scattered",3
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","006","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Public Counter",159
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","006","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Manually Counted Emergency",0
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","006","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Absentee / Military",29
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","006","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Federal",0
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","006","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Affidavit",3
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","006","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Henry L. Butler",125
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","006","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Robert Waterman",41
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","006","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Scattered",1
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","007","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Public Counter",86
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","007","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Manually Counted Emergency",0
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","007","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Absentee / Military",13
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","007","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Federal",0
"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally","56","007","Kings","IN-PLAY","Primary Election 2020 - 06/23/2020","Democratic","Male State Committee","56",1,"Affidavit",0
