"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"41","016","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Public Counter",712
"41","016","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Manually Counted Emergency",0
"41","016","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Absentee/Military",26
"41","016","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Federal",9
"41","016","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Special Presidential",0
"41","016","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Affidavit",12
"41","016","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Martin J. Golden (Republican)",422
"41","016","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Martin J. Golden (Conservative)",58
"41","016","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Martin J. Golden (Independence)",51
"41","016","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Martin J. Golden (Reform)",21
"41","016","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Scattered",2
"41","017","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Public Counter",528
"41","017","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Manually Counted Emergency",0
"41","017","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Absentee/Military",9
"41","017","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Federal",1
"41","017","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Special Presidential",0
"41","017","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Affidavit",13
"41","017","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Martin J. Golden (Republican)",341
"41","017","Kings","IN-PLAY","General Election 2016 - 11/08/2016",,"State Senator","22",1,"Martin J. Golden (Conservative)",43
