Contest,Candidate Issue,Party,District Name,Absentee Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President of the United States,Joseph R. Biden,DEM,"Horicon 1,2 ",94,50,209,353,37.04
President of the United States,Joseph R. Biden,DEM,"Thurman 1 ",41,20,118,179,29.34
President of the United States,Joseph R. Biden,DEM,"Warrensburg 1,2,3 ",228,119,365,712,38.10
President of the United States,Joseph R. Biden,DEM,"Queensbury Ward 1 1,2,3,4,5 ",782,806,604,2192,45.35
President of the United States,Joseph R. Biden,DEM,"Queensbury Ward 2  1,2,3,4 ",913,757,607,2277,51.89
President of the United States,Joseph R. Biden,DEM,"Queensbury Ward 3 1,2,3,4 ",702,670,581,1953,47.25
President of the United States,Joseph R. Biden,DEM,"Queensbury Ward 4 1,2,3 ",492,421,490,1403,44.12
President of the United States,Joseph R. Biden,DEM,"Glens Falls Ward 1 1 ",140,72,221,433,49.04
President of the United States,Joseph R. Biden,DEM,"Glens Falls Ward 2 1,2 ",338,250,471,1059,55.94
President of the United States,Joseph R. Biden,DEM,"Glens Falls Ward 3 1,2 ",344,388,467,1199,61.27
President of the United States,Joseph R. Biden,DEM,"Glens Falls Ward 4 1 ",143,113,194,450,56.53
President of the United States,Joseph R. Biden,DEM,"Glens Falls Ward 5 1,2 ",202,117,358,677,50.26
President of the United States,Joseph R. Biden,DEM,"Bolton 1,2 ",180,107,341,628,44.51
President of the United States,Joseph R. Biden,DEM,"Chester 1,2 ",233,91,332,656,34.73
President of the United States,Joseph R. Biden,DEM,"Hague 1 ",74,17,147,238,50.11
President of the United States,Joseph R. Biden,DEM,"Johnsburg 1,2 ",167,55,311,533,44.34
President of the United States,Joseph R. Biden,DEM,"Lake George 1,2 ",288,245,412,945,44.74
President of the United States,Joseph R. Biden,DEM,"Lake Luzerne 1,2 ",162,133,303,598,33.73
President of the United States,Joseph R. Biden,DEM,"Stony Creek 1 ",28,5,88,121,27.25
President of the United States,Donald J. Trump,REP,"Horicon 1,2 ",104,22,394,520,54.56
President of the United States,Donald J. Trump,REP,"Thurman 1 ",23,14,327,364,59.67
President of the United States,Donald J. Trump,REP,"Warrensburg 1,2,3 ",117,94,805,1016,54.36
President of the United States,Donald J. Trump,REP,"Queensbury Ward 1 1,2,3,4,5 ",366,553,1333,2252,46.59
President of the United States,Donald J. Trump,REP,"Queensbury Ward 2  1,2,3,4 ",296,389,1028,1713,39.04
President of the United States,Donald J. Trump,REP,"Queensbury Ward 3 1,2,3,4 ",253,431,1094,1778,43.02
President of the United States,Donald J. Trump,REP,"Queensbury Ward 4 1,2,3 ",182,265,1047,1494,46.98
President of the United States,Donald J. Trump,REP,"Glens Falls Ward 1 1 ",49,34,276,359,40.66
President of the United States,Donald J. Trump,REP,"Glens Falls Ward 2 1,2 ",63,78,491,632,33.39
President of the United States,Donald J. Trump,REP,"Glens Falls Ward 3 1,2 ",77,93,389,559,28.56
President of the United States,Donald J. Trump,REP,"Glens Falls Ward 4 1 ",41,27,198,266,33.42
President of the United States,Donald J. Trump,REP,"Glens Falls Ward 5 1,2 ",47,58,426,531,39.42
President of the United States,Donald J. Trump,REP,"Bolton 1,2 ",102,37,527,666,47.20
President of the United States,Donald J. Trump,REP,"Chester 1,2 ",149,56,848,1053,55.74
President of the United States,Donald J. Trump,REP,"Hague 1 ",26,11,177,214,45.05
President of the United States,Donald J. Trump,REP,"Johnsburg 1,2 ",90,11,467,568,47.25
President of the United States,Donald J. Trump,REP,"Lake George 1,2 ",136,128,730,994,47.06
President of the United States,Donald J. Trump,REP,"Lake Luzerne 1,2 ",119,68,822,1009,56.91
President of the United States,Donald J. Trump,REP,"Stony Creek 1 ",32,2,249,283,63.74
President of the United States,Donald J. Trump,CON,"Horicon 1,2 ",11,4,35,50,5.25
President of the United States,Donald J. Trump,CON,"Thurman 1 ",2,0,36,38,6.23
President of the United States,Donald J. Trump,CON,"Warrensburg 1,2,3 ",10,5,45,60,3.21
President of the United States,Donald J. Trump,CON,"Queensbury Ward 1 1,2,3,4,5 ",34,56,117,207,4.28
