Contest,Candidate Issue,Party,District Name,Affidavit Votes,Absentee Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"City of Plattsburgh Ward 1 1 ",0,0,0,1,1,2.04
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"City of Plattsburgh Ward 1 2 ",0,5,0,2,7,2.63
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"City of Plattsburgh Ward 1 3 ",0,1,0,0,1,14.29
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"City of Plattsburgh Ward 2 1 ",0,0,0,1,1,1.10
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"City of Plattsburgh Ward 2 2 ",0,1,0,1,2,4.08
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"City of Plattsburgh Ward 3 1 ",0,1,0,2,3,2.19
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"City of Plattsburgh Ward 3 2 ",0,3,0,2,5,2.73
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"City of Plattsburgh Ward 4 1 ",0,1,0,2,3,1.71
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"City of Plattsburgh Ward 4 2 ",0,1,0,3,4,2.29
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"City of Plattsburgh Ward 5 1 ",0,1,0,0,1,0.88
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"City of Plattsburgh Ward 5 2 ",0,1,0,1,2,1.16
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"City of Plattsburgh Ward 6 1 ",0,0,0,0,0,0.00
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"City of Plattsburgh Ward 6 2 ",0,0,0,1,1,1.18
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of Altona 1 ",0,2,0,1,3,3.66
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of AuSable 1 ",0,4,0,1,5,9.62
"PRESIDENT OF THE UNITED STATES ",Pete Buttigieg,DM1,"Town of AuSable 2 ",0,2,0,0,2,3.13
