,,,,,Voter Registration,% Turnout,Pete Buttigieg,,,,Amy Klobuchar,,,,Joseph R. Biden,,,,Tulsi Gabbard,,,,Bernie Sanders,,,,Michael R. Bloomberg,,,,Tom Steyer,,,,Michael Bennet,,,,Elizabeth Warren,,,,Andrew Yang,,,,Deval Patrick,,,,Blanks,,,,Voids,,,,Blanks  and  Voids Total,Total non votes,Total Votes Cast,
PRESIDENT OF THE UNITED STATES - Vote for ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED,Absentee Turnout,Affidavit Turnout,Machine Turnout,Total turnout,,,ABS,AFF,Machine ,Total,ABS,AFF,Machine ,Total,ABS,AFF,Machine ,Total,ABS,AFF,Machine ,Total,ABS,AFF,Machine ,Total,ABS,AFF,Machine ,Total,ABS,AFF,Machine ,Total,ABS,AFF,Machine ,Total,ABS,AFF,Machine ,Total,ABS,AFF,Machine ,Total,ABS,AFF,Machine ,Total,ABS,AFF,Machine ,Total,ABS,AFF,Machine ,Total,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1,105,0,43,148,509,29.1%,,,,2,,,,1,,,,113,,,,0,,,,22,,,,1,,,,0,,,,0,,,,7,,,,0,,,,0,,,,2,,,,0,2,2,146, 
12/2,78,0,30,108,389,27.8%,,,,0,,,,0,,,,72,,,,2,,,,19,,,,0,,,,2,,,,0,,,,10,,,,0,,,,0,,,,2,,,,1,3,3,105,
12/3,63,0,28,91,300,30.3%,,,,0,,,,0,,,,65,,,,1,,,,20,,,,2,,,,0,,,,0,,,,2,,,,1,,,,0,,,,0,,,,0,0,0,91,
13/1,63,0,28,91,436,20.9%,,,,2,,,,0,,,,65,,,,0,,,,22,,,,0,,,,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,91,
13/2,92,0,31,123,432,28.5%,,,,4,,,,2,,,,93,,,,0,,,,20,,,,0,,,,0,,,,0,,,,2,,,,2,,,,0,,,,0,,,,0,0,0,123,
13/3,44,0,31,75,276,27.2%,,,,3,,,,0,,,,50,,,,0,,,,16,,,,1,,,,0,,,,0,,,,2,,,,1,,,,0,,,,0,,,,2,2,2,73,
14/1,57,0,21,78,366,21.3%,,,,1,,,,5,,,,56,,,,0,,,,13,,,,1,,,,0,,,,0,,,,1,,,,1,,,,0,,,,0,,,,0,0,0,78,
14/2,27,0,9,36,200,18.0%,,,,0,,,,0,,,,19,,,,0,,,,12,,,,0,,,,0,,,,0,,,,2,,,,1,,,,0,,,,0,,,,2,2,2,34,
15/1,79,0,21,100,466,21.5%,,,,2,,,,0,,,,77,,,,1,,,,14,,,,2,,,,0,,,,0,,,,2,,,,0,,,,1,,,,1,,,,0,1,1,99,
15/2,58,0,27,85,440,19.3%,,,,1,,,,1,,,,63,,,,0,,,,17,,,,0,,,,0,,,,0,,,,0,,,,2,,,,0,,,,0,,,,1,1,1,84,
15/3,10,0,17,27,163,16.6%,,,,3,,,,0,,,,15,,,,0,,,,6,,,,1,,,,0,,,,0,,,,0,,,,1,,,,0,,,,0,,,,1,1,1,26,
Adams 1,41,0,19,60,246,24.4%,,,,1,,,,0,,,,45,,,,0,,,,11,,,,0,,,,0,,,,0,,,,2,,,,0,,,,1,,,,0,,,,0,0,0,60,
Adams 2,23,0,6,29,140,20.7%,,,,0,,,,0,,,,22,,,,0,,,,3,,,,1,,,,0,,,,0,,,,1,,,,1,,,,0,,,,0,,,,1,1,1,28,
Adams 3 ,43,0,29,72,362,19.9%,,,,4,,,,1,,,,54,,,,0,,,,6,,,,1,,,,0,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,2,2,70,
Alexandria 1,35,0,14,49,206,23.8%,,,,0,,,,0,,,,37,,,,2,,,,9,,,,0,,,,0,,,,0,,,,1,,,,0,,,,0,,,,0,,,,0,0,0,49, 
Alexandria 2,40,0,7,47,215,21.9%,,,,1,,,,0,,,,40,,,,0,,,,5,,,,0,,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,47,
Alexandria 3,33,0,15,48,316,15.2%,,,,0,,,,0,,,,41,,,,0,,,,3,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,0,1,1,47,
Antwerp 1,15,0,9,24,81,29.6%,,,,0,,,,0,,,,21,,,,0,,,,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,0,,,,0,0,0,24,
Antwerp 2,20,0,10,30,149,20.1%,,,,2,,,,0,,,,18,,,,0,,,,9,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,0,1,1,29,
Brownville 1,26,0,10,36,191,18.8%,,,,0,,,,1,,,,30,,,,0,,,,5,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,36,
Brownville 2,37,1,7,45,161,28.0%,,,,4,,,,0,,,,40,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,0,1,1,44,
